	ptn1	ptn2	ptn1_n_elements	ptn1_n_subsets	ptn1_vi_entropy	ptn1_constrained_probability	ptn1_unconstrained_probability	ptn1_support	ptn2_n_elements	ptn2_n_subsets	ptn2_vi_entropy	ptn2_constrained_probability	ptn2_unconstrained_probability	ptn2_support	vi_distance	vi_normalized_kraskov
2369	24	70	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	11	3.1045696960917697	0.0019819105010589	4.477429109167239e-06	4.477429109167239e-06	0.4686720259928272	0.1396671250840186
2370	24	71	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	11	3.1045696960917697	0.0019819105010589	4.477429109167239e-06	4.477429109167239e-06	0.4686720259928272	0.1396671250840186
2371	24	72	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	10	3.0834660944335237	0.0019804731987804	4.474182030625066e-06	4.474182030625066e-06	0.3133936439944591	0.0959139780431876
2372	24	73	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	12	3.238470281344144	0.0019765001615692	4.465206351626493e-06	4.465206351626493e-06	0.3991827807367274	0.1178280526329735
2373	24	74	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	12	3.2661901461475296	0.00185041138602	4.180353148779293e-06	4.180353148779293e-06	0.6302924760485871	0.1792000367112826
2374	24	75	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	11	3.136066146090476	0.0018485031297235	4.176042115417713e-06	4.176042115417713e-06	0.2967786454830596	0.0903315454465865
2375	24	76	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	11	3.063071712774708	0.0018083034434604	4.085225075315461e-06	4.085225075315461e-06	0.4271740426757651	0.128894465753853
2376	24	77	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	11	3.111728753508213	0.0017871311749513	4.037393787636713e-06	4.037393787636713e-06	0.3244957123343504	0.0987171108812574
2377	24	78	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	10	3.024249779631432	0.0017738185451154	4.007318586806369e-06	4.007318586806369e-06	0.254177329192367	0.079226687817881
2378	24	79	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	10	3.024249779631432	0.0017738185451154	4.007318586806369e-06	4.007318586806369e-06	0.254177329192367	0.079226687817881
2379	24	80	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	9	2.946451636143585	0.0017704607034403	3.999732725561916e-06	3.999732725561916e-06	0.3963868126764902	0.1223252114745782
2380	24	81	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	11	3.1581503648838067	0.0017691111424729	3.996683867625643e-06	3.996683867625643e-06	0.1846880839362681	0.0569948550300967
2381	24	82	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	11	3.163786010893862	0.0017273663136538	3.902376121836023e-06	3.902376121836023e-06	0.5278883407949193	0.1545859966491997
2382	24	83	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	10	2.96066757752104	0.0016879611198818	3.813353957841905e-06	3.813353957841905e-06	0.3247699074220973	0.1011198076951104
2383	24	84	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	10	3.0093246182545457	0.0016681978626739	3.7687058352009904e-06	3.7687058352009904e-06	0.2220915770806826	0.0697365403685734
2384	24	85	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	11	3.1858702296871915	0.0016563875124257	3.742024506269686e-06	3.742024506269686e-06	0.4157977792481269	0.1233876555584768
2385	24	86	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	10	3.055746229630138	0.0016544266817636	3.737594699636247e-06	3.737594699636247e-06	0.0822839486825994	0.0262215287957625
2386	24	87	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	12	3.1706736711746526	0.0016468592062856	3.7204986526804817e-06	3.7204986526804817e-06	0.5347760010757101	0.1562877403757409
2387	24	88	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	11	3.0808365521014096	0.0016251515677632	3.6714578849165744e-06	3.6714578849165744e-06	0.4449388820024671	0.1335389739380801
2388	24	89	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	11	3.0808365521014096	0.0016251515677632	3.6714578849165744e-06	3.6714578849165744e-06	0.4449388820024671	0.1335389739380801
2389	24	90	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	10	3.083466094433524	0.0015461360544714	3.492950147509021e-06	3.492950147509021e-06	0.3133936439944591	0.0959139780431876
2390	24	91	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	10	3.0267715526039227	0.0015448420750943	3.4900268566102267e-06	3.4900268566102267e-06	0.6108815094769495	0.1803158405738761
2391	24	92	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	11	3.068269535920985	0.0015373287033899	3.473053038085607e-06	3.473053038085607e-06	0.4323718658220423	0.1302585496535168
2392	24	93	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	12	3.248743211798152	0.0015293444123933	3.4550153431921048e-06	3.4550153431921048e-06	0.3141028639938898	0.0937497879628739
2393	24	94	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	12	3.124961279798491	0.0015291608255008	3.4546005932343887e-06	3.4546005932343887e-06	0.2856737791910744	0.0872464139910003
2394	24	95	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	10	2.978432416847742	0.0015169979741065	3.427122912050413e-06	3.427122912050413e-06	0.3425347467487993	0.1060643714857285
2395	24	96	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	10	2.978432416847742	0.0015169979741065	3.427122912050413e-06	3.427122912050413e-06	0.3425347467487993	0.1060643714857285
2396	24	97	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	12	3.1854324068234128	0.0014851694961832	3.3552176703766603e-06	3.3552176703766603e-06	0.250792059019151	0.0762952068618493
2397	24	98	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	12	3.1854324068234128	0.0014851694961832	3.3552176703766603e-06	3.3552176703766603e-06	0.250792059019151	0.0762952068618493
2398	24	99	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	11	3.117635796653921	0.0014767614132327	3.3362225667458e-06	3.3362225667458e-06	0.3185886691886423	0.0969200879591352
2399	24	100	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	59	12	3.1526811446018765	0.0014319822713122	3.235059858635843e-06	3.235059858635843e-06	0.516783474502934	0.1518277985901591
2400	25	1	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	11	3.1387393983121683	0.04722227404793	0.0001066821051254	0.0001066821051254	0.2318189153112912	0.0709326741209395
2401	25	2	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	10	3.0363352630585	0.0440805751790815	9.958454246556368e-05	9.958454246556368e-05	0.1294147800576226	0.040879658310053
2402	25	3	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	10	2.989368059459508	0.0293524171581488	6.631145399254567e-05	6.631145399254567e-05	0.3811902541639504	0.1166377818668562
2403	25	4	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	9	2.8869639242058405	0.0273990181883945	6.189843665179177e-05	6.189843665179177e-05	0.2787861189102827	0.0880632125446856
2404	25	5	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	12	3.286146704942567	0.0219864290573953	4.967059683856657e-05	4.967059683856657e-05	0.37922622194169	0.1110289548606
2405	25	6	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	11	3.1837425696888983	0.0205245546169348	4.636800614631885e-05	4.636800614631885e-05	0.2768220866880213	0.0835523512667456
2406	25	7	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	12	3.172637703396914	0.0170133490812956	3.843567324574646e-05	3.843567324574646e-05	0.2657172203960369	0.0804703201198211
2407	25	8	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	10	3.0564554496295693	0.0156684215318895	3.5397282886436986e-05	3.5397282886436986e-05	0.3141028639938907	0.0961101731591409
2408	25	9	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	9	2.954051314375901	0.014625532461144	3.304124214670978e-05	3.304124214670978e-05	0.211698728740223	0.0668715867825884
2409	25	10	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	11	3.136775366089907	0.0136664203198213	3.087446588803434e-05	3.087446588803434e-05	0.5285975607943492	0.1547615415842294
2410	25	11	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	10	3.034371230836239	0.0127574689748346	2.882101029118212e-05	2.882101029118212e-05	0.4261934255406814	0.1286366388765955
2411	25	12	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	10	3.0564554496295697	0.0122323553930336	2.763470100248385e-05	2.763470100248385e-05	0.3141028639938907	0.0961101731591409
2412	25	13	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	9	2.954051314375901	0.0114179903906885	2.5794929950744165e-05	2.5794929950744165e-05	0.2116987287402221	0.0668715867825882
2413	25	14	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	11	3.023266364544254	0.0105751777425444	2.3890891457402325e-05	2.3890891457402325e-05	0.4150885592486961	0.1257062270598556
2414	25	15	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	12	3.1854324068234128	0.0079258672144569	1.7905706923921133e-05	1.7905706923921133e-05	0.2785119238225357	0.0840195363830903
2415	25	16	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	13	3.3200450100273127	0.007921288195333	1.7895362242107394e-05	1.7895362242107394e-05	0.4131245270264356	0.1197649928298666
2416	25	17	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	11	3.083028271569745	0.0073985635728966	1.6714449966137033e-05	1.6714449966137033e-05	0.176107788568868	0.0548205168896783
2417	25	18	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	11	3.203862756259968	0.0072952087928484	1.648095622335087e-05	1.648095622335087e-05	0.4615101706242894	0.1351198544224899
2418	25	19	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	11	3.10653372831403	0.0068480476035234	1.547075292481454e-05	1.547075292481454e-05	0.1996132453131531	0.0616861624332828
2419	25	20	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	11	3.10653372831403	0.0068480476035234	1.547075292481454e-05	1.547075292481454e-05	0.1996132453131531	0.0616861624332828
2420	25	21	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	12	3.2404343135664053	0.0068295155053496	1.542888617262118e-05	1.542888617262118e-05	0.3335138305655283	0.0989699601672247
2421	25	22	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	10	3.1014586210063	0.0068099315617025	1.5384643145849346e-05	1.5384643145849346e-05	0.3591060353706217	0.1083878601172068
2422	25	23	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	12	3.26815417836979	0.0063943503392393	1.4445783665723471e-05	1.4445783665723471e-05	0.1024041352536686	0.0313339364254686
2423	25	24	59	11	3.1657500431161223	0.0059690196969868	1.348489880355402e-05	1.348489880355402e-05	59	11	3.1380301783127376	0.0063870983233087	1.4429400288567646e-05	1.4429400288567646e-05	0.2311096953118605	0.0707310140664547
